"credit","income","ownsRealty","age"
312768,112500,"N",63.2657534246575
395766,225000,"N",57.0712328767123
1042560,157500,"N",29.0082191780822
521280,225000,"Y",27.0027397260274
270000,180000,"Y",42.9041095890411
728460,337500,"N",22.2986301369863
225000,90000,"N",31.3013698630137
531706.5,157500,"N",38.813698630137
497520,315000,"N",24.4794520547945
816660,135000,"N",27.8465753424658
135000,90000,"N",41.1123287671233
528687,315000,"Y",55.6328767123288
213588,135000,"Y",34.0191780821918
1552500,247500,"Y",54.3753424657534
592560,225000,"N",26.6821917808219
284400,180000,"Y",37.627397260274
206271,72000,"N",23.6082191780822
1850544,135000,"Y",44.386301369863
1255680,202500,"Y",29.2
675000,123750,"Y",29.9424657534247
143910,90000,"Y",67.3178082191781
256500,67500,"Y",28.8904109589041
450000,157500,"N",38.1369863013699
675000,112500,"N",40.1424657534247
675000,103500,"Y",31.027397260274
351000,247500,"Y",34.3890410958904
284400,54000,"N",30.5150684931507
286704,90000,"Y",35.0328767123288
835380,225000,"Y",45.7561643835616
615109.5,270000,"N",62.7561643835616
194742,90000,"N",56.7534246575342
1034680.5,157500,"N",27.0739726027397
284400,76500,"N",28.0986301369863
545040,112500,"Y",36.0493150684932
1078200,270000,"Y",45.7972602739726
254700,90000,"Y",66.8904109589041
332946,225000,"Y",36.2630136986301
808650,225000,"N",57.1260273972603
463284,225000,"Y",31.5260273972603
1069285.5,225000,"Y",44.0520547945206
450000,198000,"N",27.5753424657534
1006920,225000,"N",38.4821917808219
225000,112500,"N",39.3506849315068
219042,135000,"Y",41.158904109589
521451,252000,"Y",63.6
526491,180000,"Y",62.3780821917808
509602.5,135000,"Y",34.0958904109589
284400,38250,"Y",62.4219178082192
636138,121500,"Y",38.3178082191781
283419,135000,"Y",23.8739726027397
119448,90000,"Y",58.2219178082192
1252363.5,225000,"Y",57.9260273972603
1147500,90000,"Y",55.2219178082192
790830,292500,"N",45.841095890411
679500,180000,"Y",32.813698630137
269550,112500,"Y",48.7917808219178
660244.5,148500,"N",52.6082191780822
1506816,225000,"N",44.4301369863014
168102,144000,"N",63.1424657534247
646920,157500,"N",26.4630136986301
450000,157500,"N",43.7397260273973
229500,81000,"N",53.4054794520548
306000,90000,"Y",52.0575342465753
9e+05,382500,"Y",39.6
1552500,360000,"Y",47.4794520547945
360000,94500,"N",27.7342465753425
203760,67500,"Y",33.8876712328767
1528200,270000,"Y",46.1369863013699
348264,144000,"Y",25.1835616438356
755190,180000,"N",34.372602739726
450000,202500,"Y",49.7287671232877
508495.5,157500,"N",62.8767123287671
545040,180000,"N",32.4931506849315
395766,225000,"N",35.1835616438356
152820,148500,"Y",54.1095890410959
1494486,180000,"Y",39.5260273972603
161730,81000,"Y",38.0356164383562
735579,202500,"Y",46.572602739726
225000,103500,"N",31.9616438356164
760225.5,144000,"N",46.0547945205479
1495435.5,225000,"Y",34.9397260273973
450000,225000,"Y",36.1315068493151
675000,202500,"Y",53.4465753424658
91692,112500,"Y",49.1397260273973
1125000,270000,"Y",56.6958904109589
1125000,202500,"N",36.0383561643836
490495.5,270000,"Y",45.241095890411
254700,225000,"Y",65.8109589041096
545040,112500,"N",28.8712328767123
450000,225000,"N",48.2630136986301
634482,225000,"Y",50.5698630136986
418500,74250,"N",23.786301369863
152820,90000,"N",32.2630136986301
191880,40500,"N",58.5041095890411
1125000,247500,"Y",45.9506849315068
343377,157500,"N",31.1808219178082
619254,112500,"N",66.8794520547945
675000,112500,"Y",31.5835616438356
937638,211500,"Y",46.9232876712329
320922,315000,"N",43.0794520547945
840996,157500,"Y",55.7835616438356
229500,112500,"Y",29.1205479452055
407965.5,202500,"N",62.7205479452055
238500,225000,"Y",27.2904109589041
592560,90000,"Y",27.6438356164384
454500,135000,"Y",39.8191780821918
277969.5,135000,"Y",33.5260273972603
180000,90000,"Y",21.1698630136986
585000,225000,"Y",26.427397260274
675000,121500,"Y",53.1424657534247
384048,67500,"N",41.0630136986301
450000,225000,"Y",58.9643835616438
400500,292500,"Y",46.8986301369863
1467612,202500,"Y",62.7534246575342
808650,270000,"Y",40.4328767123288
1147500,135000,"Y",37.5753424657534
269550,126000,"Y",67.4219178082192
247500,405000,"Y",41.6438356164384
728460,315000,"Y",25.5397260273973
1723500,180000,"Y",45.9917808219178
427869,135000,"Y",24.1397260273973
755190,135000,"N",53.1671232876712
225000,157500,"Y",55.1095890410959
265869,157500,"Y",46.9260273972603
720000,270000,"Y",40.958904109589
509922,270000,"Y",34.8054794520548
254700,130500,"Y",33.358904109589
284400,45000,"Y",56.2876712328767
196677,180000,"Y",52.7780821917808
1042560,117000,"Y",37.413698630137
521280,180000,"Y",32.8849315068493
526491,112500,"Y",40.1452054794521
851778,148500,"Y",51.6630136986301
810000,301500,"Y",35.7780821917808
1195587,121500,"Y",53.4739726027397
256500,157500,"Y",43.0630136986301
675000,202500,"Y",32.0712328767123
781920,121500,"Y",58.7972602739726
358443,135000,"Y",50.8547945205479
337500,382500,"Y",63.9068493150685
651600,51750,"N",60.7835616438356
270000,112500,"Y",28.4438356164384
381528,247500,"N",51.6876712328767
450000,337500,"N",27.6191780821918
589455,180000,"Y",23.8356164383562
101880,67500,"Y",30.8575342465753
239850,112500,"Y",51.041095890411
1507869,176400,"Y",57.0219178082192
1019610,225000,"Y",55.3835616438356
180000,135000,"Y",24.0301369863014
254700,135000,"Y",54.9671232876712
517500,135000,"Y",49.2109589041096
485640,270000,"N",31.972602739726
180000,180000,"Y",28.4356164383562
450000,135000,"Y",29.2082191780822
740700,112500,"N",52.6438356164384
521280,202500,"Y",43.4301369863014
341280,135000,"Y",27.2301369863014
269550,67500,"Y",45.227397260274
45000,90000,"Y",23.5835616438356
1035072,189000,"Y",55.1123287671233
270000,90000,"Y",42.8164383561644
148500,121500,"Y",22.372602739726
781695,270000,"Y",42.1671232876712
183784.5,90000,"Y",49.0301369863014
135000,148500,"Y",45.9616438356164
157500,67500,"N",45.2931506849315
405000,157500,"Y",35.4821917808219
1312110,195750,"Y",61.586301369863
269550,270000,"Y",42.2246575342466
1913805,315000,"Y",40.9068493150685
1002870,121500,"Y",57.5698630136986
2085120,675000,"Y",35.3424657534247
117162,63000,"Y",23.3808219178082
544491,45000,"N",32.8082191780822
396171,247500,"Y",30.5753424657534
584766,193500,"Y",54.4438356164384
675000,216000,"Y",45.7506849315068
1096020,202500,"Y",40.227397260274
269550,135000,"Y",26.8739726027397
1125000,90000,"N",61.6328767123288
675000,112500,"Y",52.9808219178082
253377,45000,"Y",61.6191780821918
508495.5,202500,"Y",37.4986301369863
855882,157500,"N",57.3041095890411
239850,54000,"Y",67.1972602739726
407520,90000,"Y",34.3424657534247
225000,90000,"N",28.0547945205479
450000,202500,"Y",28.6520547945205
270000,108000,"Y",34.1753424657534
9e+05,103500,"Y",43.3397260273973
539100,292500,"Y",24.0602739726027
408865.5,270000,"Y",63.4054794520548
509400,225000,"Y",32.7150684931507
521280,75150,"Y",55.1753424657534
495000,193500,"Y",44.9232876712329
526491,225000,"Y",57.1315068493151
439740,180000,"N",63.4219178082192
457834.5,225000,"Y",44.2657534246575
450000,135000,"N",37.3452054794521
675000,112500,"Y",66.3671232876712
807984,180000,"Y",52.5123287671233
328365,112500,"Y",28.4383561643836
333000,90000,"Y",45.627397260274
1236816,90000,"Y",58.813698630137
47970,90000,"Y",58.0219178082192
1078200,180000,"Y",58.6630136986301
747000,157500,"Y",36.0739726027397
619965,225000,"N",38.4219178082192
270000,90000,"Y",53.4657534246575
231813,76500,"N",47.172602739726
539100,135000,"N",35.4712328767123
135000,144000,"Y",35.2246575342466
835380,252000,"Y",57.6958904109589
450000,270000,"Y",30.3369863013699
225000,135000,"N",29.4821917808219
675000,225000,"Y",32.0054794520548
414792,135000,"N",35.1232876712329
180000,135000,"Y",30.3698630136986
219870,67500,"Y",60.6027397260274
135000,180000,"Y",29.8931506849315
604152,67500,"N",38.5287671232877
454500,202500,"Y",63.9972602739726
1350000,225000,"Y",43.7260273972603
590337,121500,"Y",50.4520547945205
675000,103500,"N",56.7753424657534
573628.5,202500,"Y",39.5315068493151
942300,99000,"Y",38.7232876712329
640080,112500,"Y",37.4547945205479
152820,135000,"Y",53.4109589041096
1012500,225000,"Y",29.6958904109589
161730,67500,"N",59.9972602739726
1288350,135000,"N",43.0465753424658
225000,180000,"Y",58.3123287671233
1014493.5,202500,"Y",47.7479452054795
675000,135000,"Y",55.0246575342466
497520,216000,"Y",50.2876712328767
324216,121500,"Y",52.9397260273973
1291500,292500,"Y",30.8301369863014
1575000,157500,"N",64.6794520547945
298512,171000,"Y",28.2657534246575
178776,121500,"N",43.0520547945206
495000,202500,"Y",49.2739726027397
9e+05,103500,"Y",41.4054794520548
837000,270000,"N",39.186301369863
754740,144000,"N",42.9369863013699
121500,144000,"Y",50.0164383561644
283419,112500,"Y",31.627397260274
1092190.5,189000,"Y",64.7671232876712
202500,112500,"Y",55.6383561643836
418743,202500,"Y",26.8520547945205
276277.5,90000,"Y",40.4630136986301
590337,108000,"Y",51.958904109589
422235,180000,"Y",42.3835616438356
824823,180000,"Y",49.4109589041096
285723,202500,"Y",29.4054794520548
202500,157500,"Y",59.2986301369863
152820,38250,"Y",68.0465753424658
1546020,225000,"N",55.441095890411
269550,90000,"N",58.7397260273973
454500,135000,"Y",57.6219178082192
450000,126000,"N",54.1068493150685
675000,180000,"Y",30.5506849315069
824823,135000,"Y",57.3068493150685
495000,67500,"Y",51.7643835616438
202500,117000,"Y",55.813698630137
616527,180000,"Y",36.3424657534247
816660,208350,"Y",38.2712328767123
398016,225000,"N",43.4767123287671
545040,54000,"N",50.8493150684931
450000,301500,"Y",25.972602739726
360000,112500,"N",29.758904109589
338832,135000,"Y",55.9068493150685
1530000,360000,"Y",51.6438356164384
675000,225000,"Y",32.8164383561644
1256400,112500,"N",49.6931506849315
271957.5,180000,"Y",54.7013698630137
1800000,450000,"Y",57.0082191780822
1303812,112500,"N",40.9808219178082
314055,270000,"Y",41.8054794520548
180000,90000,"N",28.6109589041096
9e+05,225000,"Y",53.413698630137
517500,225000,"N",33.227397260274
886500,112500,"Y",36.8328767123288
390960,81000,"Y",61.1561643835616
1305000,225000,"Y",46.0794520547945
286704,135000,"Y",53.8602739726027
284400,126000,"Y",66.813698630137
450000,945000,"Y",29.6054794520548
1214100,180000,"Y",59.9452054794521
180000,54000,"Y",37.4082191780822
225000,180000,"Y",56.1698630136986
648000,112500,"N",45.4246575342466
225000,36000,"Y",66.2958904109589
1350000,157500,"Y",59.0356164383562
1213227,180000,"Y",52.1890410958904
145557,115650,"N",28.6547945205479
1575000,315000,"Y",34.5315068493151
1236816,180000,"Y",49.2904109589041
1350000,180000,"Y",55.9506849315068
53910,72000,"Y",29.4328767123288
1546020,243000,"Y",40.4191780821918
269550,81000,"Y",39.0520547945206
675000,175500,"N",22.9698630136986
790434,207000,"Y",42.0191780821918
225000,337500,"Y",56.4493150684931
9e+05,180000,"N",42.6191780821918
291114,337500,"Y",46.0465753424658
270000,225000,"Y",29.4876712328767
327024,72000,"Y",30.4328767123288
533304,94500,"N",42.0520547945206
1280794.5,202500,"Y",58.427397260274
675000,157500,"N",35.8657534246575
585000,45000,"Y",48.0602739726027
592560,112500,"Y",57.4356164383562
1078200,198900,"Y",54.2657534246575
203760,180000,"N",34.8164383561644
1062099,135000,"Y",44.1342465753425
229230,108000,"Y",61.2630136986301
331632,135000,"N",56.6493150684932
814041,225000,"N",39.7095890410959
225000,202500,"N",44.3232876712329
247500,157500,"Y",21.0904109589041
760122,202500,"N",36.4657534246575
323460,112500,"Y",54.586301369863
225000,225000,"Y",65.9945205479452
405000,360000,"Y",30.1616438356164
755190,112500,"N",26.6
805536,180000,"Y",58.5315068493151
862560,157500,"Y",42.2657534246575
454500,90000,"N",27.8383561643836
781920,360000,"Y",46.2328767123288
755190,112500,"N",30.6438356164384
270000,135000,"Y",59.1178082191781
1006920,319500,"N",59.586301369863
1636245,157500,"N",25.3041095890411
1546020,247500,"Y",53.8493150684931
405000,112500,"Y",58.9561643835616
971280,157500,"Y",29.1479452054795
247275,540000,"N",45.1013698630137
360000,180000,"Y",39.0465753424658
125136,54000,"Y",62.7972602739726
765000,225000,"Y",28.0821917808219
327024,72000,"Y",36
238500,157500,"Y",39.2301369863014
584766,189000,"Y",36.0876712328767
1006920,202500,"Y",29.7534246575342
90000,144000,"Y",29.0712328767123
640080,124425,"N",55.3095890410959
152820,202500,"N",26.1452054794521
894766.5,90000,"N",41.6931506849315
1570500,382500,"Y",54.2
651595.5,112500,"Y",48.0547945205479
607500,108859.5,"Y",28.2164383561644
562981.5,112500,"Y",55.0383561643836
61128,135000,"Y",41.3945205479452
808650,99000,"Y",52.8630136986301
1006920,247500,"Y",38.8054794520548
355536,292500,"Y",32.3753424657534
528633,270000,"N",54.8630136986301
538704,90000,"Y",60.5013698630137
634482,81000,"Y",38.7698630136986
675000,270000,"Y",34.4438356164384
521280,202500,"Y",38.6849315068493
1325475,90000,"Y",49.5753424657534
921861,202500,"Y",30.6767123287671
841500,90000,"Y",29.7205479452055
1620000,202500,"Y",53.4602739726027
781920,90000,"Y",60.372602739726
1078200,135000,"N",50.7917808219178
247500,135000,"N",37.1561643835616
894906,360000,"Y",39.8520547945205
270000,81000,"Y",58.586301369863
630000,81000,"Y",63.6794520547945
1325475,292500,"Y",42.7315068493151
598500,81000,"N",55.3095890410959
590337,67500,"N",45.4493150684931
284400,126000,"Y",23.6876712328767
610335,270000,"Y",35.3698630136986
1256400,180000,"N",48.6684931506849
360000,112500,"Y",49.7424657534247
270000,180000,"Y",42.8958904109589
9e+05,225000,"N",30.4493150684931
270000,63000,"Y",27.5041095890411
675000,247500,"Y",35.8739726027397
1125000,157500,"N",40.1479452054795
239850,90000,"N",51.6520547945205
824823,90000,"Y",40.3232876712329
604152,90000,"N",40.4712328767123
604152,99000,"Y",39.0164383561644
1068624,697500,"Y",59.0547945205479
675000,99000,"Y",47.3424657534247
540000,202500,"Y",33.8219178082192
454500,105750,"Y",45.3780821917808
993082.5,180000,"Y",60.586301369863
1029784.5,180000,"Y",62.3835616438356
251091,126000,"Y",49.3369863013699
876019.5,81000,"Y",26.5506849315069
505233,135000,"N",22.2191780821918
539590.5,225000,"Y",29.7068493150685
254700,90000,"N",41.7260273972603
665892,157500,"Y",38.4082191780822
1056447,135000,"Y",35.1698630136986
1223010,112500,"Y",61.6219178082192
672174,60750,"Y",62.772602739726
1258650,202500,"Y",41.6684931506849
327249,121500,"Y",55.4547945205479
582804,225000,"N",34.227397260274
188460,85500,"Y",63.2246575342466
315000,166500,"N",34.1753424657534
1417500,177750,"N",39.4630136986301
1078200,112500,"Y",30.8849315068493
448056,157500,"Y",31.6328767123288
2303460,945000,"Y",59.4849315068493
354276,135000,"Y",64.6219178082192
904500,270000,"Y",38.7424657534247
270126,85500,"N",24.7205479452055
495000,67500,"Y",34.7616438356164
450000,157500,"Y",51.0054794520548
1800000,405000,"Y",35.7013698630137
808650,135000,"N",39.1150684931507
135000,189000,"Y",32.1397260273973
835605,112500,"N",38.2767123287671
1125000,225000,"N",39.5616438356164
1762110,202500,"Y",45.7178082191781
302206.5,99000,"Y",27.7808219178082
668304,90000,"Y",62.6575342465753
450000,112500,"Y",60.1780821917808
641799,247500,"Y",67.1534246575342
180000,81000,"Y",22.3479452054795
495000,112500,"Y",26.027397260274
134775,121500,"N",27.3424657534247
544491,135000,"Y",62.3890410958904
1125000,81000,"N",41.2219178082192
143910,225000,"Y",29.1397260273973
239850,45000,"N",50.2849315068493
315000,135000,"N",58.8493150684931
161730,112500,"Y",52.2630136986301
288873,157500,"Y",40.9232876712329
1125000,157500,"N",46.3917808219178
135000,54000,"N",61.9150684931507
135000,90000,"Y",31.4465753424658
450000,112500,"Y",59.9013698630137
284400,175500,"Y",67.1671232876712
497520,270000,"N",57.6328767123288
1185120,180000,"Y",39.9150684931507
936000,134401.95,"N",28.9671232876712
180000,112500,"Y",39.7342465753425
810000,405000,"Y",32.0821917808219
810000,270000,"Y",33.1479452054795
942300,270000,"Y",51.5013698630137
9e+05,270000,"Y",48.7616438356164
202500,157500,"Y",50.8547945205479
518562,126000,"Y",39.6931506849315
9e+05,180000,"Y",47.4438356164384
392427,180000,"Y",47.8794520547945
450000,36180,"Y",58.2027397260274
536917.5,90000,"Y",46.1945205479452
830214,135000,"Y",27.3452054794521
170640,225000,"Y",33.5315068493151
824823,126000,"N",39.0246575342466
1305000,180000,"Y",24.958904109589
358443,270000,"Y",23.4520547945205
889515,157500,"N",44.5397260273973
436032,180000,"Y",43.5123287671233
299772,90000,"Y",37.2931506849315
180000,63000,"N",34.5041095890411
973710,180000,"Y",47.3123287671233
943425,270000,"Y",48.8958904109589
1006920,202500,"N",48.6191780821918
512064,90000,"N",31.586301369863
891000,67500,"Y",53.8547945205479
722394,225000,"N",55.1616438356164
450000,135000,"N",24.2301369863014
1125000,157500,"Y",39.6246575342466
509922,225000,"Y",43.4630136986301
698517,270000,"Y",44.2712328767123
1113399,315000,"Y",55.3287671232877
1249740,180000,"N",47.8465753424658
302341.5,112500,"Y",49.827397260274
101880,112500,"Y",62.2191780821918
247500,247500,"Y",53.5123287671233
417024,171000,"Y",41.0821917808219
80865,67500,"Y",45.5506849315069
528633,171000,"N",51.3369863013699
835380,180000,"Y",53.6657534246575
675000,180000,"N",37.3561643835616
479700,234000,"Y",36.1287671232877
585000,225000,"Y",53.8931506849315
561393,202500,"Y",63.013698630137
284400,30600,"Y",55.4246575342466
1051245,157500,"N",37.627397260274
71955,76500,"Y",48.8986301369863
315000,225000,"Y",46.372602739726
248760,112500,"N",56.3013698630137
247500,135000,"Y",23.7068493150685
226422,157500,"Y",27.158904109589
500211,225000,"Y",23.2575342465753
9e+05,270000,"Y",33.8109589041096
585000,135000,"N",55.3369863013699
544491,157500,"Y",62.7205479452055
801963,41850,"N",59.3671232876712
225000,99000,"Y",54.7095890410959
135000,112500,"Y",21.4904109589041
276277.5,99000,"Y",38.5287671232877
134775,81000,"N",57.7561643835616
180000,90000,"Y",33.4575342465753
454500,90000,"Y",53.4191780821918
296280,130500,"Y",49.986301369863
1078200,202500,"Y",61.4821917808219
442791,112500,"Y",31.3452054794521
436032,112500,"Y",42.8575342465753
997335,247500,"Y",35.2301369863014
824823,225000,"Y",23.1068493150685
1125000,157500,"Y",37.2684931506849
835380,382500,"N",39.7534246575342
135000,225000,"Y",33.8657534246575
9e+05,225000,"N",28.3945205479452
9e+05,450000,"N",42.5972602739726
66222,112500,"Y",37.2986301369863
315000,157500,"N",37.2109589041096
652500,166500,"Y",53.8219178082192
284400,202500,"Y",38.6904109589041
180000,67500,"Y",21.2246575342466
225000,94500,"Y",66.6027397260274
225000,216000,"Y",65.9698630136986
808650,202500,"Y",40.3452054794521
450000,67500,"N",50.4246575342466
693301.5,270000,"Y",23.3424657534247
211500,90000,"N",24.8958904109589
1371204,270000,"N",45.7780821917808
931401,157500,"N",35.3753424657534
9e+05,144000,"Y",43.6904109589041
405000,135000,"N",53.7917808219178
225000,225000,"Y",36.9917808219178
1522048.5,198000,"Y",58.6876712328767
755190,81000,"N",53.4712328767123
785398.5,270000,"N",38.9068493150685
497520,157500,"Y",65.2
545040,157500,"N",27.7452054794521
360000,225000,"Y",37.6986301369863
1575000,261000,"N",57.6849315068493
536917.5,135000,"N",52.386301369863
1138068,180000,"Y",60.7972602739726
1042560,315000,"N",28.227397260274
539100,270000,"N",24.1095890410959
254700,81000,"Y",30.358904109589
213948,315000,"Y",27.7315068493151
193572,112500,"Y",47.641095890411
732915,202500,"Y",52.0876712328767
278613,112500,"Y",43.1506849315069
675000,225000,"N",38.0356164383562
752553,157500,"Y",54.8082191780822
203760,202500,"Y",67.2082191780822
942300,112500,"N",52.1150684931507
778500,180000,"Y",37.0520547945206
269550,121500,"N",49.4219178082192
9e+05,202500,"N",29.0876712328767
1079050.5,135000,"N",57.9424657534247
553500,157500,"Y",54.1232876712329
180000,225000,"N",35.2684931506849
497520,180000,"Y",43.9945205479452
163008,85500,"Y",65.6301369863014
270000,90000,"Y",63.227397260274
755190,166500,"Y",24.5753424657534
1125000,337500,"Y",38.9178082191781
314100,157500,"Y",35.1150684931507
312682.5,112500,"Y",49.0027397260274
284400,150750,"Y",66.7397260273973
675000,76500,"N",42.5369863013699
863226,180000,"Y",54.9534246575342
424255.5,121500,"Y",48.2054794520548
375858,225000,"Y",30.1534246575342
797557.5,220500,"Y",33.3095890410959
1046142,225000,"N",31.3013698630137
523597.5,85500,"Y",60.0986301369863
328405.5,180000,"N",33.5452054794521
755190,360000,"N",36.2191780821918
180000,157500,"N",22.2602739726027
315000,112500,"Y",47.3780821917808
257391,225000,"N",48.8520547945205
9e+05,135000,"N",49.6547945205479
508495.5,94500,"N",60.0328767123288
170640,67500,"N",28.3808219178082
337500,112500,"Y",54.3041095890411
403249.5,157500,"Y",43.8684931506849
339241.5,103500,"N",63.2301369863014
1035072,202500,"Y",51.2794520547945
166500,67500,"Y",62.0821917808219
180000,202500,"Y",25.8602739726027
1223010,135000,"Y",51.8767123287671
343800,180000,"Y",43.7698630136986
193500,225000,"N",50.3424657534247
555273,99000,"Y",44.1835616438356
135000,157500,"Y",61.6383561643836
298728,112500,"Y",46.2712328767123
1800000,225000,"Y",49.0356164383562
1096020,360000,"N",39.6767123287671
842391,135000,"N",30.7917808219178
1129500,135000,"Y",55.5095890410959
180000,315000,"N",35.0191780821918
1035832.5,117000,"Y",48.7616438356164
9e+05,270000,"Y",49.7205479452055
263686.5,45000,"N",54.6547945205479
225000,81000,"Y",44.1123287671233
405000,135000,"Y",54.7068493150685
781920,270000,"N",27.6876712328767
369000,121500,"N",35.6054794520548
101880,67500,"N",58.7342465753425
450000,157500,"N",40.2630136986301
450000,157500,"Y",61.3013698630137
367389,157500,"N",25.6520547945205
1506816,292500,"N",51.0986301369863
508495.5,171000,"Y",57.5616438356164
545040,90000,"Y",27.9780821917808
1485000,157500,"Y",49.9397260273973
738108,202500,"Y",34.9452054794521
9e+05,112500,"Y",57.2109589041096
83538,49500,"N",62.9534246575342
967428,103500,"N",34.4246575342466
239850,180000,"N",30.758904109589
810000,189000,"N",36.8164383561644
980838,270000,"N",39.2246575342466
931500,180000,"Y",62.8219178082192
191880,90000,"Y",49.5452054794521
288562.5,135000,"N",26.1369863013699
234000,135000,"Y",31.2904109589041
1125000,180000,"Y",64.427397260274
280170,247500,"Y",22.627397260274
270000,202275,"N",38.8821917808219
9e+05,315000,"Y",37.6301369863014
202500,157500,"Y",21.2356164383562
80865,112500,"Y",61.0547945205479
879934.5,202500,"Y",41.6630136986301
417024,76500,"Y",40.6465753424658
1622691,450000,"Y",46.2328767123288
1185120,202500,"Y",27.3616438356164
265500,135000,"Y",49.3424657534247
254700,121500,"Y",32.0493150684932
1024740,247500,"N",40.8493150684931
1078200,135000,"N",43.586301369863
1125000,270000,"N",38.0821917808219
398934,270000,"Y",51.2493150684932
595903.5,202500,"N",42.6547945205479
1218708,225000,"Y",28.8027397260274
9e+05,112500,"N",32.7315068493151
312768,135000,"Y",25.6219178082192
808650,126000,"Y",56.9260273972603
512338.5,112500,"Y",55.6027397260274
315000,97731,"N",24.0958904109589
532494,162000,"Y",51.786301369863
180000,135000,"Y",47.2849315068493
973503,180000,"Y",30.5780821917808
225000,112500,"Y",58.4986301369863
808650,135000,"N",40.2082191780822
157914,90000,"N",36.5808219178082
157500,130500,"Y",28.6383561643836
521280,180000,"Y",64.6
417024,180000,"Y",40.2876712328767
247500,87750,"Y",55.4301369863014
508495.5,90000,"Y",37.7671232876712
675000,171000,"N",31.0931506849315
573408,225000,"Y",36.0986301369863
195543,180000,"Y",49.6109589041096
247986,112500,"N",22.5780821917808
545040,112500,"N",23.8630136986301
